split,feature,comparison,left_count,right_count,ks_statistic,ks_pvalue,absolute_median_iqr_effect
validation,returns_10,BUY_vs_SELL,1703,1568,0.051396020827591204,0.025556208395512432,0.05747325232259218
validation,log_returns,BUY_vs_NO_TRADE,1703,4720,0.05892492809299643,0.00031939865445398903,0.0782185086130068
validation,log_returns,SELL_vs_NO_TRADE,1568,4720,0.03213204773434797,0.1713162719760564,0.015300009007237417
validation,log_returns,BUY_vs_SELL,1703,1568,0.048533050918547205,0.04089370571783886,0.056506356693223826
validation,high_low_ratio,BUY_vs_NO_TRADE,1703,4720,0.10846263323944783,2.820783467466205e-13,0.19382068557661983
validation,high_low_ratio,SELL_vs_NO_TRADE,1568,4720,0.06844949844344517,3.0451725135911322e-05,0.10719850613501992
validation,high_low_ratio,BUY_vs_SELL,1703,1568,0.052496270087600494,0.021183128471390436,0.07793004882157378
validation,close_open_ratio,BUY_vs_NO_TRADE,1703,4720,0.05874827074852951,0.0003364993389014535,0.06369549078976916
validation,close_open_ratio,SELL_vs_NO_TRADE,1568,4720,0.03542243168453818,0.10128694249492842,0.0003219723347904718
validation,close_open_ratio,BUY_vs_SELL,1703,1568,0.04402981832780084,0.0811107237819227,0.05592583527214709
validation,rsi,BUY_vs_NO_TRADE,1703,4720,0.05544652009912715,0.0008677553556122654,0.039277796503158914
validation,rsi,SELL_vs_NO_TRADE,1568,4720,0.026400899342787998,0.3768185006305972,0.005215808399994424
validation,rsi,BUY_vs_SELL,1703,1568,0.049674119501000646,0.03401038812649332,0.03228797560424043
validation,macd,BUY_vs_NO_TRADE,1703,4720,0.04986414801397335,0.003801370235698351,0.007885318777139067
validation,macd,SELL_vs_NO_TRADE,1568,4720,0.05709097198201314,0.000885627906767819,0.0071367455896015845
validation,macd,BUY_vs_SELL,1703,1568,0.03230343811041739,0.351620420026638,0.01721299522762392
validation,macd_signal,BUY_vs_NO_TRADE,1703,4720,0.0646924171700986,5.325527222123889e-05,0.050718816550596284
validation,macd_signal,SELL_vs_NO_TRADE,1568,4720,0.06370416810792114,0.00013406088171369045,0.03122623852567178
validation,macd_signal,BUY_vs_SELL,1703,1568,0.03260003355423213,0.34085287328479796,0.022239147200330982
validation,macd_hist,BUY_vs_NO_TRADE,1703,4720,0.07230970769429823,3.868716818678251e-06,0.09742188679215001
validation,macd_hist,SELL_vs_NO_TRADE,1568,4720,0.08175588031822889,2.702445134671481e-07,0.054764732956976064
validation,macd_hist,BUY_vs_SELL,1703,1568,0.06152220870732322,0.0039094803154370176,0.052033606388882395
validation,bb_upper,BUY_vs_NO_TRADE,1703,4720,0.05988348079660022,0.0002399237693381678,0.07941600242505856
validation,bb_upper,SELL_vs_NO_TRADE,1568,4720,0.03135809408509166,0.19239943632389495,0.04115807802647533
validation,bb_upper,BUY_vs_SELL,1703,1568,0.08443870061236475,1.613006283943619e-05,0.1228561531973595
validation,bb_lower,BUY_vs_NO_TRADE,1703,4720,0.050435920658459144,0.0032911923072093006,0.05436765248169644
validation,bb_lower,SELL_vs_NO_TRADE,1568,4720,0.0470425458318921,0.010505365073623523,0.03158354404537704
validation,bb_lower,BUY_vs_SELL,1703,1568,0.0780495404268578,8.865384772129177e-05,0.08735040097147174
validation,bb_width,BUY_vs_NO_TRADE,1703,4720,0.07611095076485169,9.373799808266256e-07,0.1222060391480816
validation,bb_width,SELL_vs_NO_TRADE,1568,4720,0.10045399515738496,8.553236600299935e-11,0.14684172716374094
validation,bb_width,BUY_vs_SELL,1703,1568,0.04956439416635705,0.03462691610717154,0.0233926965081353
validation,bb_pct,BUY_vs_NO_TRADE,1703,4720,0.0722667874239876,3.929547160702008e-06,0.09235790938324151
validation,bb_pct,SELL_vs_NO_TRADE,1568,4720,0.030486855759252834,0.21848712798830197,0.03775757713766163
validation,bb_pct,BUY_vs_SELL,1703,1568,0.052956142821191904,0.01955863562173266,0.05199137418381808
validation,sma_10,BUY_vs_NO_TRADE,1703,4720,0.04852914099744221,0.005288009445685786,0.06578182839012722
validation,sma_10,SELL_vs_NO_TRADE,1568,4720,0.03476089588377729,0.11304305375855747,0.04448163378243659
validation,sma_10,BUY_vs_SELL,1703,1568,0.07428517502127102,0.00022723781688709324,0.11525795828760019
validation,sma_20,BUY_vs_NO_TRADE,1703,4720,0.048497914945708986,0.005328437425662451,0.06940858798735945
validation,sma_20,SELL_vs_NO_TRADE,1568,4720,0.03782212037357319,0.06683440656421617,0.04652215565460364
validation,sma_20,BUY_vs_SELL,1703,1568,0.08133156374704903,3.756884526746745e-05,0.11953249724671429
validation,sma_50,BUY_vs_NO_TRADE,1703,4720,0.05502216925266479,0.0009763090749228936,0.07914410602173066
validation,sma_50,SELL_vs_NO_TRADE,1568,4720,0.03955378761674161,0.04868179166399163,0.03477107598117412
validation,sma_50,BUY_vs_SELL,1703,1568,0.0880513978932736,5.799090498375348e-06,0.11489484789134456
validation,sma_200,BUY_vs_NO_TRADE,1703,4720,0.07104449276948954,6.1031105554207165e-06,0.1020127641783053
validation,sma_200,SELL_vs_NO_TRADE,1568,4720,0.032851954341058476,0.1533854971628738,0.02562404964250206
validation,sma_200,BUY_vs_SELL,1703,1568,0.09855844128608576,2.3194808835516712e-07,0.1278165782351169
validation,ema_12,BUY_vs_NO_TRADE,1703,4720,0.05295353663027358,0.0017112099047604963,0.07151608808029503
validation,ema_12,SELL_vs_NO_TRADE,1568,4720,0.036460134901418195,0.08490415460644118,0.04751056620573466
validation,ema_12,BUY_vs_SELL,1703,1568,0.07545170886910252,0.00017060397119186146,0.12335225022093822
validation,ema_26,BUY_vs_NO_TRADE,1703,4720,0.049490555052400076,0.00417299449817321,0.06953339651251257
validation,ema_26,SELL_vs_NO_TRADE,1568,4720,0.03607964372189554,0.09063203689423262,0.041674414952630426
validation,ema_26,BUY_vs_SELL,1703,1568,0.0802893603125337,4.9534554030943814e-05,0.11447927979117425
